h3_cell,hour,day_of_week,violation_count_slot,h3_total_violations,h3_unique_vehicles,h3_hour_density,is_weekend,at_junction_pct,two_wheeler_pct,car_pct,auto_pct,no_parking_pct,wrong_parking_pct,main_road_pct,h3_risk_tier
8860145125fffff,13,1,3,13,5,5,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145125fffff,13,4,1,13,5,5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860145127fffff,4,3,6,9,4,7,0,0.0,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,0.16666666666666666,safe
8860145127fffff,4,6,1,9,4,7,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,safe
8860145127fffff,5,5,1,9,4,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,safe
8860145127fffff,12,2,1,9,4,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,safe
8860145129fffff,11,5,1,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,safe
886014512bfffff,2,3,2,4,3,2,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,safe
886014512bfffff,10,2,1,4,3,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,safe
886014512bfffff,12,2,1,4,3,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,safe
8860145141fffff,4,0,2,3,2,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145141fffff,14,6,1,3,2,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860145149fffff,2,2,2,50,10,8,0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,low
8860145149fffff,2,3,1,50,10,8,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145149fffff,2,4,4,50,10,8,0,0.0,0.0,0.5,0.25,0.0,1.0,0.0,low
8860145149fffff,2,6,1,50,10,8,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low
8860145149fffff,3,2,1,50,10,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145149fffff,3,3,1,50,10,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145149fffff,3,5,1,50,10,3,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low
8860145149fffff,4,0,1,50,10,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,4,1,1,50,10,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,4,2,1,50,10,6,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,low
8860145149fffff,4,6,3,50,10,6,1,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,low
8860145149fffff,5,3,2,50,10,2,0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,low
8860145149fffff,6,1,1,50,10,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,6,6,2,50,10,3,1,0.0,0.0,0.0,0.5,0.0,1.0,0.5,low
8860145149fffff,7,1,1,50,10,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145149fffff,7,5,1,50,10,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,10,1,2,50,10,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low
8860145149fffff,10,5,1,50,10,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,11,2,3,50,10,11,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,low
8860145149fffff,11,4,1,50,10,11,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
8860145149fffff,11,5,1,50,10,11,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145149fffff,11,6,6,50,10,11,1,0.0,0.0,0.5,0.16666666666666666,0.0,1.0,0.16666666666666666,low
8860145149fffff,12,1,1,50,10,11,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low
8860145149fffff,12,2,2,50,10,11,0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,low
8860145149fffff,12,3,1,50,10,11,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
8860145149fffff,12,4,2,50,10,11,0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,low
8860145149fffff,12,5,1,50,10,11,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
8860145149fffff,12,6,4,50,10,11,1,0.0,0.0,0.5,0.25,0.0,1.0,0.0,low
8860145149fffff,13,2,1,50,10,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low
886014514dfffff,2,3,1,103,8,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014514dfffff,3,0,1,103,8,2,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
886014514dfffff,3,3,1,103,8,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014514dfffff,4,0,1,103,8,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
886014514dfffff,4,3,1,103,8,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
886014514dfffff,4,6,2,103,8,4,1,0.0,0.0,0.0,0.5,0.0,1.0,0.5,low
886014514dfffff,5,3,1,103,8,8,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
886014514dfffff,5,6,7,103,8,8,1,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,0.5714285714285714,low
886014514dfffff,6,2,1,103,8,12,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
886014514dfffff,6,3,4,103,8,12,0,0.0,0.0,1.0,0.0,0.25,0.75,0.0,low
886014514dfffff,6,4,5,103,8,12,0,0.0,0.4,0.6,0.0,0.4,0.6,0.0,low
886014514dfffff,6,6,2,103,8,12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014514dfffff,7,0,2,103,8,7,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
886014514dfffff,7,4,2,103,8,7,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
886014514dfffff,7,6,3,103,8,7,1,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,low
886014514dfffff,8,0,5,103,8,6,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
886014514dfffff,8,6,1,103,8,6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low
886014514dfffff,10,1,8,103,8,15,0,0.0,0.0,0.75,0.25,0.5,0.5,0.0,low
886014514dfffff,10,5,4,103,8,15,1,0.0,0.0,0.5,0.5,0.5,0.5,0.0,low
886014514dfffff,10,6,3,103,8,15,1,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,low
886014514dfffff,11,2,10,103,8,24,0,0.0,0.0,0.8,0.0,0.1,0.9,0.1,low
886014514dfffff,11,3,1,103,8,24,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
886014514dfffff,11,4,3,103,8,24,0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,low
886014514dfffff,11,5,2,103,8,24,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
886014514dfffff,11,6,8,103,8,24,1,0.0,0.0,0.75,0.25,0.25,0.75,0.25,low
886014514dfffff,12,1,3,103,8,16,0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,low
886014514dfffff,12,3,2,103,8,16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,low
886014514dfffff,12,4,3,103,8,16,0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,low
886014514dfffff,12,5,5,103,8,16,1,0.0,0.0,1.0,0.0,0.2,0.8,0.0,low
886014514dfffff,12,6,3,103,8,16,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,low
886014514dfffff,13,1,1,103,8,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014514dfffff,13,3,1,103,8,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
886014514dfffff,13,6,2,103,8,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.5,low
886014514dfffff,14,0,1,103,8,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014514dfffff,14,2,1,103,8,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,low
886014514dfffff,14,5,2,103,8,4,1,0.0,0.5,0.5,0.0,0.0,1.0,0.5,low
8860145165fffff,3,5,1,77,12,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145165fffff,3,6,1,77,12,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145165fffff,4,2,9,77,12,13,0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.0,low
8860145165fffff,4,4,1,77,12,13,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low
8860145165fffff,4,5,1,77,12,13,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145165fffff,4,6,2,77,12,13,1,0.0,0.0,0.0,0.5,0.0,1.0,0.0,low
8860145165fffff,5,0,1,77,12,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145165fffff,5,6,3,77,12,4,1,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,low
8860145165fffff,6,6,2,77,12,2,1,0.0,0.5,0.0,0.0,0.0,1.0,0.0,low
8860145165fffff,7,6,3,77,12,3,1,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,low
8860145165fffff,9,4,1,77,12,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low
8860145165fffff,9,6,1,77,12,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145165fffff,10,1,2,77,12,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,low
8860145165fffff,11,2,3,77,12,8,0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,low
8860145165fffff,11,3,2,77,12,8,0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,low
8860145165fffff,11,4,2,77,12,8,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145165fffff,11,6,1,77,12,8,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,low
8860145165fffff,12,1,1,77,12,16,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145165fffff,12,2,4,77,12,16,0,0.0,0.25,0.25,0.25,0.25,0.75,0.0,low
8860145165fffff,12,3,5,77,12,16,0,0.0,0.4,0.4,0.0,0.0,1.0,0.2,low
8860145165fffff,12,4,2,77,12,16,0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,low
8860145165fffff,12,5,3,77,12,16,1,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,low
8860145165fffff,12,6,1,77,12,16,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145165fffff,13,2,3,77,12,22,0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,low
8860145165fffff,13,3,8,77,12,22,0,0.0,0.875,0.0,0.0,0.0,1.0,0.0,low
8860145165fffff,13,4,10,77,12,22,0,0.0,0.9,0.0,0.1,0.5,0.5,0.0,low
8860145165fffff,13,5,1,77,12,22,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145165fffff,14,2,1,77,12,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145165fffff,15,0,1,77,12,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145165fffff,16,6,1,77,12,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
8860145167fffff,3,2,1,11,3,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,safe
8860145167fffff,4,1,1,11,3,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,4,2,1,11,3,2,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,5,1,1,11,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,5,2,2,11,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,5,3,1,11,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,7,1,1,11,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,safe
8860145167fffff,7,2,1,11,3,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,safe
8860145167fffff,7,4,2,11,3,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,safe
8860145169fffff,12,0,1,2,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,safe
8860145169fffff,15,2,1,2,1,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145185fffff,10,5,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145187fffff,3,3,1,3,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860145187fffff,8,2,1,3,1,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860145187fffff,8,4,1,3,1,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
88601451e3fffff,4,6,1,2,2,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,safe
88601451e3fffff,8,2,1,2,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
88601451e5fffff,4,3,3,3,1,3,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,safe
88601451e7fffff,1,6,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145335fffff,2,3,3,75,8,8,0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,low
8860145335fffff,2,4,4,75,8,8,0,0.0,0.0,0.25,0.5,0.25,0.75,0.0,low
8860145335fffff,2,6,1,75,8,8,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145335fffff,3,1,3,75,8,17,0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,low
8860145335fffff,3,2,12,75,8,17,0,0.0,0.5,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.8333333333333334,0.0,low
8860145335fffff,3,3,2,75,8,17,0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,low
8860145335fffff,4,1,3,75,8,6,0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,low
8860145335fffff,4,2,1,75,8,6,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145335fffff,4,3,1,75,8,6,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145335fffff,4,5,1,75,8,6,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,low
8860145335fffff,6,6,3,75,8,3,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145335fffff,10,1,5,75,8,5,0,0.0,0.0,0.4,0.6,0.4,0.6,0.0,low
8860145335fffff,11,2,4,75,8,25,0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,low
8860145335fffff,11,3,3,75,8,25,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145335fffff,11,4,1,75,8,25,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145335fffff,11,5,9,75,8,25,1,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.4444444444444444,low
8860145335fffff,11,6,8,75,8,25,1,0.0,0.0,0.75,0.125,0.25,0.75,0.25,low
8860145335fffff,12,1,3,75,8,11,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,low
8860145335fffff,12,6,8,75,8,11,1,0.0,0.0,1.0,0.0,0.625,0.375,0.0,low
8860145803fffff,2,1,2,78,8,5,0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,low
8860145803fffff,2,5,3,78,8,5,1,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,low
8860145803fffff,3,0,1,78,8,7,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,low
8860145803fffff,3,2,2,78,8,7,0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,low
8860145803fffff,3,3,1,78,8,7,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145803fffff,3,4,2,78,8,7,0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,low
8860145803fffff,3,5,1,78,8,7,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
8860145803fffff,4,0,8,78,8,12,0,0.0,0.625,0.125,0.25,0.375,0.625,0.0,low
8860145803fffff,4,3,3,78,8,12,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,low
8860145803fffff,4,5,1,78,8,12,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,5,0,3,78,8,10,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,low
8860145803fffff,5,1,4,78,8,10,0,0.0,0.5,0.25,0.0,1.0,0.0,0.0,low
8860145803fffff,5,6,3,78,8,10,1,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,low
8860145803fffff,6,6,2,78,8,2,1,0.0,0.5,0.0,0.0,0.5,0.5,0.5,low
8860145803fffff,7,4,1,78,8,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,8,6,1,78,8,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145803fffff,9,0,2,78,8,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,low
8860145803fffff,9,2,1,78,8,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,10,2,1,78,8,6,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
8860145803fffff,10,3,2,78,8,6,0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,low
8860145803fffff,10,4,1,78,8,6,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
8860145803fffff,10,5,2,78,8,6,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,11,0,13,78,8,18,0,0.0,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.6153846153846154,0.0,low
8860145803fffff,11,1,1,78,8,18,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145803fffff,11,2,1,78,8,18,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
8860145803fffff,11,3,1,78,8,18,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
8860145803fffff,11,5,1,78,8,18,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,11,6,1,78,8,18,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
8860145803fffff,12,0,2,78,8,9,0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,low
8860145803fffff,12,1,1,78,8,9,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145803fffff,12,2,3,78,8,9,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,low
8860145803fffff,12,3,1,78,8,9,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145803fffff,12,4,2,78,8,9,0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,low
8860145803fffff,13,2,1,78,8,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
8860145803fffff,13,4,2,78,8,3,0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,low
8860145803fffff,14,4,1,78,8,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
8860145809fffff,2,2,1,246,10,3,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,2,3,1,246,10,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,moderate
8860145809fffff,2,5,1,246,10,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,3,0,2,246,10,18,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,3,3,6,246,10,18,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,3,4,7,246,10,18,0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,moderate
8860145809fffff,3,5,3,246,10,18,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,4,0,17,246,10,26,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,4,1,9,246,10,26,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,5,0,1,246,10,27,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,5,3,13,246,10,27,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,5,6,13,246,10,27,1,0.0,1.0,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,moderate
8860145809fffff,6,3,2,246,10,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,7,1,10,246,10,12,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,7,5,1,246,10,12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,7,6,1,246,10,12,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,8,1,15,246,10,33,0,0.0,1.0,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,moderate
8860145809fffff,8,2,18,246,10,33,0,0.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,moderate
8860145809fffff,9,2,18,246,10,34,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,9,5,16,246,10,34,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,10,0,8,246,10,28,0,0.0,0.875,0.0,0.125,1.0,0.0,0.0,moderate
8860145809fffff,10,3,9,246,10,28,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,10,5,11,246,10,28,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,11,2,5,246,10,7,0,0.0,0.8,0.0,0.0,0.8,0.2,0.0,moderate
8860145809fffff,11,3,2,246,10,7,0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,moderate
8860145809fffff,12,2,2,246,10,5,0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,moderate
8860145809fffff,12,5,3,246,10,5,1,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,moderate
8860145809fffff,13,4,1,246,10,6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,13,5,1,246,10,6,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,moderate
8860145809fffff,13,6,4,246,10,6,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,14,3,15,246,10,34,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,14,5,19,246,10,34,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
8860145809fffff,15,0,11,246,10,11,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,moderate
886014580bfffff,1,1,1,92,9,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014580bfffff,2,1,1,92,9,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
886014580bfffff,2,2,2,92,9,4,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,low
886014580bfffff,2,6,1,92,9,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,low
886014580bfffff,3,1,5,92,9,8,0,0.0,0.8,0.2,0.0,0.8,0.2,0.0,low
886014580bfffff,3,4,2,92,9,8,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
886014580bfffff,3,5,1,92,9,8,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
886014580bfffff,4,1,4,92,9,20,0,0.0,0.5,0.25,0.25,1.0,0.0,0.0,low
886014580bfffff,4,4,7,92,9,20,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
886014580bfffff,4,6,9,92,9,20,1,0.0,1.0,0.0,0.0,0.8888888888888888,0.2222222222222222,0.0,low
886014580bfffff,5,1,3,92,9,6,0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,low
886014580bfffff,5,3,1,92,9,6,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,low
886014580bfffff,5,5,1,92,9,6,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014580bfffff,5,6,1,92,9,6,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
886014580bfffff,6,1,1,92,9,6,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
886014580bfffff,6,2,2,92,9,6,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
886014580bfffff,6,6,3,92,9,6,1,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,low
886014580bfffff,7,1,1,92,9,8,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,low
